nan;nan;nan;nan;nan;nan;nan;TVR;Quantity
nan;nan;nan;nan;nan;nan;nan;all 18+;all 18+
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;07:26:00 - 07:26:59;25.01.2020;0,0136;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;07:45:00 - 07:45:59;25.01.2020;0,0053;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;08:16:00 - 08:16:59;25.01.2020;0,0091;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;08:32:00 - 08:32:59;25.01.2020;0,0053;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;08:50:00 - 08:50:59;25.01.2020;0,0096;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;09:30:00 - 09:30:59;25.01.2020;0,0053;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;10:31:00 - 10:31:59;25.01.2020;0,0145;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;11:33:00 - 11:33:59;25.01.2020;0,0644;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;12:36:00 - 12:36:59;25.01.2020;0,1224;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;13:27:00 - 13:27:59;25.01.2020;0,0668;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;14:23:00 - 14:23:59;25.01.2020;0,0339;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;15:22:00 - 15:22:59;25.01.2020;0,0576;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;16:25:00 - 16:25:59;25.01.2020;0,0922;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;17:21:00 - 17:21:59;25.01.2020;0,1724;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;18:21:00 - 18:21:59;25.01.2020;0,2358;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;19:08:00 - 19:08:59;25.01.2020;0,1773;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;19:21:00 - 19:21:59;25.01.2020;0,2563;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;20:23:00 - 20:23:59;25.01.2020;0,1477;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;21:26:00 - 21:26:59;25.01.2020;0,1143;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;22:32:00 - 22:32:59;25.01.2020;0,0870;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;23:31:00 - 23:31:59;25.01.2020;0,0510;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;24:27:00 - 24:27:59;25.01.2020;0,0365;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;25:24:00 - 25:24:59;25.01.2020;0,0107;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;06:18:00 - 06:18:59;25.01.2020;0,3217;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;06:49:00 - 06:49:59;25.01.2020;0,4992;1
